VBA Project,GUID,Friendly name
DMC_O365SecComp,0b50dead-aabb-45f2-8043-000ed54ac9ee,v-dahint__recursiveprocedures_boilerplate
DMC_O365SecComp,47403d64-a067-4754-9ae9-00157244c27d,publish-your-business-calendar-online-with-microsoft-bookings
DMC_O365SecComp,5cf7139e-cfa1-4765-8aad-001af1c74faa,create-and-edit-autopilot-profiles
DMC_O365SecComp,3fee845a-fa43-4ae2-9b48-001b59b1cc90,ecm-and-publishing
DMC_O365SecComp,a18f8975-aa7f-43b4-a7d6-001d14744d8e,set-up-an-ediscovery-center-in-sharepoint-online
DMC_O365SecComp,d359cdaa-0ebd-4c59-8fc5-002cba241b18,rbs-overview
DMC_O365SecComp,b681468e-e043-45b5-ba07-00309a7a7aad,business-connectivity-services-code-samples
DMC_O365SecComp,ea657843-505c-4981-a369-004881db1ae6,add-records-at-yahoo!-small-business-to-set-up-your-sharepoint-online-public-web
DMC_O365SecComp,3f143995-070f-49a3-b9ed-005e7881cc46,about-sharepoint-documentation
DMC_O365SecComp,4c46c8cb-17d0-44b5-9776-005fced8e618,manage-who-can-create-office-365-groups
DMC_O365SecComp,a001827f-a757-454d-a749-006198d166b7,purchase-intune-trial
DMC_O365SecComp,5d79bef7-9f3a-4883-9f94-0076e7273e70,retire-topicsfebruary
DMC_O365SecComp,5a04a25a-a34f-476b-afc6-007fb92f86a1,fix-email-delivery-issues-for-error-code-550-5-1-10-in-office-365
DMC_O365SecComp,f687788b-f9b6-4a63-94d2-008939108c65,add-edit-or-delete-a-content-source
DMC_O365SecComp,d6466f0d-5d13-464a-adcb-00906ae87029,get-started-with-office-365
DMC_O365SecComp,c6fec347-5203-4c03-bc35-00910fc10099,data-models-in-excel-services
DMC_O365SecComp,555c2702-1595-4a28-bf7b-00abe664076d,supportmc-shd-support
DMC_O365SecComp,b17a56ea-2e7f-43c6-9a17-00ae1f5c4089,configure-and-use-the-documentum-connector
DMC_O365SecComp,523ff3a6-53db-4c0a-8100-00df264f9089,add-records-at-blacknight-to-set-up-your-sharepoint-online-public-website
DMC_O365SecComp,0539ee95-4632-4303-bdbb-00e8ddb13877,retired-in-sept-2016
DMC_O365SecComp,3b112f75-1f1f-4d96-bb06-00ef9d59900d,video-share-a-workbook-in-the-cloud
DMC_O365SecComp,ad007dd2-707f-433c-9150-00f56118bd19,change-nameservers-at-domainnameshop
DMC_O365SecComp,004030b4-10ad-4026-96e7-011b6afc7e73,create-dns-records-at-register365
DMC_O365SecComp,2b703d7f-cb20-4c9c-a7f3-0126e5316301,adding-people-to-your-contacts-list-in-lync
DMC_O365SecComp,958f4afb-0a78-41ac-bd95-012a627b768e,what-s-new
DMC_O365SecComp,38f670bb-01ea-441b-9f5c-0149710c3f61,surveys
DMC_O365SecComp,20d0c5c3-554c-40b3-8579-0159e0072166,not-in-build-change-settings-for-the-my-tasks-page
