Error Type,Topic Guid,Message
Error,,Checking for list in tables in file: message:System.Collections.ArrayList
Error,,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file: message:System.Collections.ArrayList
Error,,Checking for missing tables headers in file: message:System.Collections.ArrayList
Error,,Running transform:ConceptualTransform.xslt on file: message:System.Collections.ArrayList
Error,,Running github process on file: message:System.Collections.ArrayList
Error,05b2e7e4-230e-48a9-802c-4cafac0d7c9d,Checking for list in tables in file:05b2e7e4-230e-48a9-802c-4cafac0d7c9d.xml message:System.Collections.ArrayList
Error,05b2e7e4-230e-48a9-802c-4cafac0d7c9d,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file:05b2e7e4-230e-48a9-802c-4cafac0d7c9d.md message:System.Collections.ArrayList
Error,05b2e7e4-230e-48a9-802c-4cafac0d7c9d,Checking for missing tables headers in file:05b2e7e4-230e-48a9-802c-4cafac0d7c9d.md message:System.Collections.ArrayList
Error,05b2e7e4-230e-48a9-802c-4cafac0d7c9d,Running transform:ConceptualTransform.xslt on file:05b2e7e4-230e-48a9-802c-4cafac0d7c9d.xml message:System.Collections.ArrayList
Error,05b2e7e4-230e-48a9-802c-4cafac0d7c9d,Checking for nested tables in file:c:\dsbs\Builds\iw\1033\Content\DMC_O365SecComp\Working\markdown\05b2e7e4-230e-48a9-802c-4cafac0d7c9d.md message:System.Collections.ArrayList
Warning,078eb946-819a-4e13-8673-fe0c0ad3a775,Found nested table in md file:078eb946-819a-4e13-8673-fe0c0ad3a775.md
Warning,078eb946-819a-4e13-8673-fe0c0ad3a775,Fixing missing end table tag in file:078eb946-819a-4e13-8673-fe0c0ad3a775.md
Warning,078eb946-819a-4e13-8673-fe0c0ad3a775,Found invalid tables saving file:078eb946-819a-4e13-8673-fe0c0ad3a775.md
Warning,07e76024-0c80-40dc-8c48-1dd0d0f863cb,Found a an ul list inside a table in html file:07e76024-0c80-40dc-8c48-1dd0d0f863cb.xml
Warning,09f6737e-f03f-4bc8-8281-e46d24ee2a74,Missing tables headers in file:09f6737e-f03f-4bc8-8281-e46d24ee2a74.md
Warning,0a322724-08ca-43db-b69a-afbfa20484cd,Found nested table in md file:0a322724-08ca-43db-b69a-afbfa20484cd.md
Warning,0a322724-08ca-43db-b69a-afbfa20484cd,Fixing missing end table tag in file:0a322724-08ca-43db-b69a-afbfa20484cd.md
Warning,0a322724-08ca-43db-b69a-afbfa20484cd,Found invalid tables saving file:0a322724-08ca-43db-b69a-afbfa20484cd.md
Warning,0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98,Found nested table in md file:0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98.md
Warning,0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98,Fixing missing end table tag in file:0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98.md
Warning,0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98,Fixing missing end table tag in file:0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98.md
Warning,0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98,Fixing missing end table tag in file:0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98.md
Warning,0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98,Found invalid tables saving file:0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98.md
Warning,0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98,Could not Add new line after images in md file:0a73d5fa-b2c8-43e7-9ed4-61f0552b1c98.md
Warning,0ce338d5-3666-4a18-86ab-c6910ff408cc,Found a an ul list inside a table in html file:0ce338d5-3666-4a18-86ab-c6910ff408cc.xml
Warning,0ce338d5-3666-4a18-86ab-c6910ff408cc,Found nested table in md file:0ce338d5-3666-4a18-86ab-c6910ff408cc.md
Warning,0ce338d5-3666-4a18-86ab-c6910ff408cc,Fixing missing end table tag in file:0ce338d5-3666-4a18-86ab-c6910ff408cc.md
Warning,0ce338d5-3666-4a18-86ab-c6910ff408cc,Found invalid tables saving file:0ce338d5-3666-4a18-86ab-c6910ff408cc.md
Warning,0d4d0f35-390b-4518-800e-0c7ec95e946c,Found a an ul list inside a table in html file:0d4d0f35-390b-4518-800e-0c7ec95e946c.xml
Warning,0d4d0f35-390b-4518-800e-0c7ec95e946c,Missing tables headers in file:0d4d0f35-390b-4518-800e-0c7ec95e946c.md
Warning,0d4d0f35-390b-4518-800e-0c7ec95e946c,Found nested table in md file:0d4d0f35-390b-4518-800e-0c7ec95e946c.md
Warning,0d4d0f35-390b-4518-800e-0c7ec95e946c,Fixing missing end table tag in file:0d4d0f35-390b-4518-800e-0c7ec95e946c.md
Warning,0d4d0f35-390b-4518-800e-0c7ec95e946c,Fixing missing end table tag in file:0d4d0f35-390b-4518-800e-0c7ec95e946c.md
